!Scene Name;!Dialog Audio File name;!Time Stamp (in seconds);!Command (Show, Mute, Unmute, Stop);(Show)Text to show;(Mute)Mute Flag;(Show)+( [ ] )Text Flag ;(Show)+( [ ] ) word index;Text flag;Word index;flag;Index;so on...
;;25;Show;Be quick. Be quiet. And make sure you get the target alone before you mindjump. Once you enter I'll keep tabs on their brain activity and let you know if anything unusual happens.;;;;;;;;
;;34.7;Show;Miles: Understood.;;;;;;;;
;;36.4;Show;Saoirse: And Miles?;;;;;;;;
;;38.2;Show;I know what this means to you, okay? But remember, there is more at stake here than you and your revenge. Everything comes down to this.;;;;;;;;
;;47.3;Show;No matter what Axiom has done, no matter how you feel about them, if you get emotional then they'll know you're in there and everything will fall to shit.;;;;;;;;
;;55.8;Show;Miles: But no pressure, right?;;;;;;;;
;;58.5;Show;Saoirse: I know. I'm sorry.;;;;;;;;
;;59.2;Show;Miles: I know, Saoirse. I'm ready.;;;;;;;;
;;61.1;Show;Saoirse: Alright then. Knock them dead.;;;;;;;;
;;;;;;;;;;;;
Hallway POI;;;;;;;;;;;;
POI 1;;0;Show;Thanks to our leading researchers in the fields of neuroscience, the Axiom Corporation has managed to cure humanity's most detrimental neurological illnesses which have plagued the mind for millenia.;;;;;;;;
;;11;;As a result of the profits gained from our trademarked formula, Axiom stock now sits at the peak of medical technology. But it's not too late to invest in the future of our philanthropic company.;;;;;;;;
;;21;;Following our breakthrough with dementia and Alzheimers, we've already begun research into cures for Parkinsons and Tourette's syndrome. With our technology, the cure for all degenerate neurological conditions are within our grasp.;;;;;;;;
;;34;;Because here at Axiom, we know the value of the human mind.;;;;;;;;
;;;;;;;;;;;;
POI 2;;0;Show;Miles: What the fuck…?;;;;;;;;
;;;;;;;;;;;;
POI 3;;0;Show;Miles: Dammit, it's locked. Gotta find another way in.;;;;;;;;
;;;;;;;;;;;;
POI 3 (2);;0;Show;Axiom Employee: …With this breakthrough we'll be able to totally eradicate neurological diseases. Think of what people will pay for that kind of knowledge.;;;;;;;;
;;8;Show;???: Pah! You're thinking too small. You think this is about the money? We have within our power the capacity to shape a human mind however we like.;;;;;;;;
;;19;Show;???: Who's to say what is and isn't a degenerative disease? I'll tell you who - it's us. We have the potential to remove or add whatever we want to the human brain. The future of humankind is in our hands and there is no limit with what we can do.;;;;;;;;
;;34;Show;Axiom Employee: I hardly think your talk of barely hidden eugenics will get past the board -;;;;;;;;
;;38.2;Show;???: *Sigh* Why is it that the advances of man are always hindered by man's own cowardice? Axiom will move ahead, with or without the likes of you.;;;;;;;;
;;;;;;;;;;;;
POI 3 (3);;0;Show;Miles: Bingo. That's gotta be them.;;;;;;;;
;;;;;;;;;;;;
POI 3 (4);;0;Show;Miles: Here we go…;;;;;;;;
;;;;;;;;;;;;
Scene 4 - Mindscape;;0;Show;Miles: Okay. Gotta get to the core. Let's end this thing.;;;;;;;;
;;;;;;;;;;;;
Memory 2;;0;Show;Miles: Is…is this a second mind core?;;;;;;;;
;;;;;;;;;;;;
;;0;Show;Miles: What the fuck? Saoirse, you didn't tell me the target could mindjump too.;;;;;;;;
;;3.9;Show;Saoirse: Wait, what? Are you sure?;;;;;;;;
;;6.6;Show;Miles: She has memories of destroying a mind core.;;;;;;;;
;;9.2;Show;Saoirse: Shit. That explains the spikes I'm seeing in her brain activity. Keep the chatter to a minimum. If she is a mindjumper, it won't take much for her to cotton on to your presence.;;;;;;;;
;;20.1;Show;Miles: I hear you. We definitely underestimated her abilities.;;;;;;;;
;;;;;;;;;;;;
Memory 3;;0;Show;???: Axiom is a family. We look after each other. Together we work to create a better world.;;;;;;;;
;;6.8;Show;Hospitals and doctors look after people's bodies, but we? We look after their minds. We have a responsibility to everybody, to create a future where mental diseases no longer exist.;;;;;;;;
;;17.9;Show;Wouldn't you like to be a part of that? A part of a family that looks after people? Help us make the world a better place.;;;;;;;;
;;;;;;;;;;;;
Code Memory;;0;Show;Miles: Huh…;;;;;;;;
;;3;Show;There's something weird going on with that lightning. Is it a memory?;;;;;;;;
;;;;;;;;;;;;
;;0;Show;2…4…6…0…1.;;;;;;;;
;;5;Show;That's it! That's gotta be the code!;;;;;;;;
;;;;;;;;;;;;
Code Memory (2);;0;Show;Saoirse, I-I've got it, I've got the code! It's 24601.;;;;;;;;
;;7.1;Show;Saoirse: Oh my God. Miles, you did it! Have I ever told you you're amazing?;;;;;;;;
;;12.6;Show;Miles: Not nearly enough, to be honest.;;;;;;;;
;;14.2;Show;Saoirse: Just get the hell out of there as soon as you can, okay? We can celebrate when you're out of there.;;;;;;;;
;;17.8;Show;Miles: Sure. There's just…one more thing I gotta do.;;;;;;;;
;;;;;;;;;;;;
Core Memory/Nightmare;;0;Show;Miles: Wait, is - is that…?;;;;;;;;
;;;;;;;;;;;;
;;0;Show;???: This the one?;;;;;;;;
;;2;Show;???: Yes, that's her. Alexandra Protas.;;;;;;;;
;;2;Show;Miles: No…No!;;;;;;;;
;;3.7;Show;Alex: Let go of me!;;;;;;;;
;;4.8;Show;???: Wasn't there supposed to be another kid as well?;;;;;;;;
;;4.8;Show;Miles: No, no, there's no way!;;;;;;;;
;;7.8;Show;???: The other one means nothing. Alex is the one we need.;;;;;;;;
;;7.8;Show;Miles: There's no way this memory is here!;;;;;;;;
;;10;Show;Saoirse: Miles! What's going on?;;;;;;;;
;;11.1;Show;???: I thought we were supposed to get rid of everyone else?;;;;;;;;
;;13;Show;Saoirse: There's serious spikes in her brain activity. She's getting paranoid!;;;;;;;;
;;14.1;Show;???: How about you think less, hmm? You might hurt yourself.;;;;;;;;
;;18.2;Show;Just grab the kid and let's get out of here.;;;;;;;;
;;18.2;Show;Miles: No…no this can't be true!;;;;;;;;
;;20.1;Show;???: Do I…have to touch her?;;;;;;;;
;;22.5;Show;What if she gets into my head? Starts working her mind shit on me?;;;;;;;;
;;23;Show;Saoirse: Christ, Miles, she knows you're in there!;;;;;;;;
;;26;Show;Get the hell out of there! Now!;;;;;;;;
;;;;;;;;;;;;
Scene 5 - Final Cutscene;;0;Show;Saoirse: Dammit Miles, where the hell are you? If you die, I swear I'm going to kill you. What's going on?;;;;;;;;
;;7.2;Show;Miles: … I'm here…;;;;;;;;
;;9.8;Show;Saoirse: Thank God. What happened?;;;;;;;;
;;12.6;Show;Miles: The target…;;;;;;;;
;;14.3;Show;It was Alex.;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
